EKITI STATE GOVERNORSHIP ELECTION RESULTS 2026,,,,,,,,,,,,RESULT SUMMARY,,,,,,,
Results from Irev,,,,,,,,,,,,APC,PDP,ADC,LP,ACCORD,SDP,Total PU,PU Entered
Result by Polling Units,,,,,,,,,,,,00,00,00,00,00,00,2445,0
LGA,WARD,WARD CODE,POLLING UNITS,PU CODE,APC,PDP,ADC,LP,ACCORD,SDP,,,,,,,,,
ADO EKITI,ADO 'C' IDOLOFIN,03,ST. GEOGRE'S PRY. SCH. / ORODE,006,,,,,,,,,,,,,,,
ADO EKITI,ADO 'C' IDOLOFIN,03,IN FRONT OF EDEMO'S COMP. / EDEMO EGUNLUSI COMP.,007,,,,,,,,,,,,,,,
ADO EKITI,ADO 'C' IDOLOFIN,03,IN FRONT OF ELEWERE'S COMP. / ELEWERE OGUNREMI'S COMP.,008,,,,,,,,,,,,,,,
ADO EKITI,ADO 'C' IDOLOFIN,03,IN FRONT OF ELEWERE'S COMP. / ELEWERE,009,,,,,,,,,,,,,,,
ADO EKITI,ADO 'C' IDOLOFIN,03,ST. GEORGE'S PRY. SCH. / ALAKETU LAWANI COMP.,010,,,,,,,,,,,,,,,
ADO EKITI,ADO 'C' IDOLOFIN,03,"ANGLICAN PRY. SCHOOL / IDEMO, ARAROMI",011,,,,,,,,,,,,,,,
ADO EKITI,ADO 'C' IDOLOFIN,03,"24, OWOLABI'S HOUSE / OWOLABI'S COMP.",012,,,,,,,,,,,,,,,
ADO EKITI,ADO 'C' IDOLOFIN,03,IN FRONT OF MR. OGUNRINDE'S HOUSE / OLOKEMEJI'S COMP.,013,,,,,,,,,,,,,,,
ADO EKITI,ADO 'C' IDOLOFIN,03,OPEN SPACE AT OLOGUNJAS AREA TIPPER GARRAGE,014,,,,,,,,,,,,,,,
ADO EKITI,ADO 'C' IDOLOFIN,03,OPEN SPACE AT ELERE AREA IDOLOFIN JUNCTION,015,,,,,,,,,,,,,,,
ADO EKITI,ADO 'C' IDOLOFIN,03,OPEN SPACE AT OJIDO MARKET,016,,,,,,,,,,,,,,,
ADO EKITI,ADO 'C' IDOLOFIN,03,OPEN SPACE AT OMOLAFE JUNCTION OLOKEMEJI AREA,017,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,ST. MICHEAL PRY. SCH. BK. I / WATER WKS. AREA I,001,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,ST. MICHEAL PRY. SCH. BK.II / WATER WKS. AREA II,002,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,OPEN SPACE AT IMUGBAGBA MKT. / EGUNLUSI COMP.,003,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,IN FRONT OF OMESI MEDICINE STORE / OLOKUN COMP.,004,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,"IN FRONT OF SANSAYIN'S HOUSE / SANSAYIN, OMOGAME, BASORUN COMP.",005,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,"AT THE BACK OF HIGH LIFE HOTEL / EJEMU, ELOMOBA COMP.",006,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,"POLY BUS STOP , IJIGBO ROUND ABOUT / CHIEF EJIGBO COMPOUND BABATOLA",007,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,ST. JAMES PRY. SCH. / EKUTE AREA,008,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,IN FRONT OF ADETADE HOSP. / OKE BOLA AREA,009,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,OPP. MARIA ASUMPTA HOSP. / UREJE AREA,010,,,,,,,,,,,,,,,
