EKITI STATE GOVERNORSHIP ELECTION RESULTS 2026,,,,,,,,,,,,RESULT SUMMARY,,,,,,,
Results from Irev,,,,,,,,,,,,APC,PDP,ADC,LP,ACCORD,SDP,Total PU,PU Entered
Result by Polling Units,,,,,,,,,,,,00,00,00,00,00,00,2445,0
LGA,WARD,WARD CODE,POLLING UNITS,PU CODE,APC,PDP,ADC,LP,ACCORD,SDP,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
,LG SUM,,,,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,ARAMOKO I,01,ST. PHILIPS'S B / ANAYE I,001,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"OMOALARA HALL, ANAYE II",002,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"INFRONT OF CHIEF OJOKO'S HOUSE , ANAYE III",003,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"OPEN SPACE WITHIN ANAYE , ANAYE IV",004,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"ST. ANNE'S SCH, ISASA I",005,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"TOWN HALL , ISASA II",006,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"TOWN HALL , ISASA III",007,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"MR. AKEJU'S HOUSE , ALAKOWE",008,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"IN FRONT OF CHIEF IMI'S HOUSE , IDIFI",009,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"ATIBA PALACE , ATIBA",010,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"NEAR ODOFIN'S HOUSE , IWARO / IJOWA / SURULERE",011,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"NEAR CHIEF SAJOWA'S HOUSE , SAJOWA",012,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"MATERNITY CENTRE , IWARO / IJELU I",013,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"MATERNITY CENTRE , IWARO / IJELU II",014,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,BAPTIST PRY. SCH. / ALELE,015,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"INFRONT OF CHIEF OKUNATO'S HOUSE , IKUNATO",016,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"ST. JOSEPH'S C. A. C. PRY. SCH. , OKE EGBE",017,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"IN FRONT OF CHIEF ASASA'S HOUSE , AYINRIN OYEWUNMI",018,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"ODOLE'S COMP. , AKINGBOLU COMP. / ODOLE",019,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"OKE OBO / OKE ASASA , OKE- OBO COMP. OKO ASASA",020,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"FRONT OF OKORO AGUNSIMI HOUSE , ODO AYO ALAKOWE",021,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"IN FRONT OF R. A. SHITU'S HOUSE, AMUTUTU",022,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO I,01,"MARKET SQUARE , ALELE",023,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"IN FRONT OF ABOLUWARIN 'S HOUSE , ILAO I",001,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"AT LION'S BUS - STOP , ILAO II",002,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"FRONT OF CHIEF ASAO , ISAO I",003,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"EGBEWA , ISAO II",004,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"FRONT OF OLOGBUDU HOUSE , ISAO III",005,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"FRONT OF AYODEJI'S HOUSE , ISAO IV",006,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"MEKEJO NEAR ODAN , ISAO V",007,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"FRONT OF FAMUBODE'S HOUSE ODO OLORO , ISAO VI",008,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"FRONT OF FASANMI'S HOUSE , OKE ESO",009,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"FRONT OF CHIEF ELEYINMI'S HOUSE, OKE AYO 1",010,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"NEAR CHIEF FOLA ALADE'S HOUSE , OKE AYO II",011,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"OPP. FINANCE OFFICE , IJOKO",012,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"ST. STEPHENS PRY. SCH. , ILURE",013,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"AT MARKET SQUARE, ISALU I",014,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"NEAR OLAJUBU'S HOUSE , ISALU II",015,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"NEAR OJO OGUN'S , ISALU III",016,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"IDOKA , IDOKA",017,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"AT SAW MILL STALL , EGBEWA I",018,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"NEAR ELEKASOMI'S HOUSE , EGBEWA II",019,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"FASANMI'S COMP. , EGBEWA III",020,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"AT ADICO COMP. , IGEMO",021,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"EYINLOYE'S FARM SETTLEMENT , ODO ISAN",022,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"A. U. D. PRY. SCH. , OKE OJA I",023,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"NEAR S. ALAJA'S HOUSE , OKE OJA II",024,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"AT TOWN HALL , OKE OJA III",025,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"NEAR ABU BAKARE'S HOUSE , OKE AJA IV",026,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"FRONT OF CHIEF OLOGBODO'S HOUSE , OKE URO",027,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"FRONT OF FAKANLE HOUSE, ALUWAYA",028,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO II,02,"APAMU FARM SETTLEMENT , APAMU",029,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"COMMUNITY PRY. SCH. , ILE ONA I",001,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"FRONT OF AMODU AGBABIAKA'S HOUSE , ILE ONA II",002,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"FRONT OF AJAGUNGBALA'S HOUSE , AJAYE OKE",003,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"FRONT OF JOSEPH ILESANMI'S HOUSE , AJAYE ODO",004,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"ELEJOFI'S FARM , TEMIDIRE",005,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"COMMUNITY PRY. SCH. , AJEBAMIDELE",006,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"NEAR BAALE LAMIDI , SURULERE OKE OJA",007,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"COMMUNITY SCH. , KAJOLA / KAJOLA OKE OJA",008,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"PRY. SCH. AKOLA , OKOLA",009,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"OPEN SPACE WITHIN ALAFE , TEMIDIRE , TEMIDIRE ALAFE",010,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"L. A. PRY. SCH. , SURULERE OKE OJA",011,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"FRONT OF BAALE'S HOUSE , ORISUNBARE CAMP",012,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"FRONT OF POST OFFICE , OBADA",013,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"FRONT OF IBUOYE , IROKIN / IBUOYE",014,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"IDIORA SQURE , IBALA I",015,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"FRONT OF OLAJUBU HOUSE , IBALA II",016,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"FRONT OF OYEWUMI'S HOUSE , ILOPO / ARAROMI / IYERE I",017,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"SPACE WITHIN ILOPO / ARAROMI , ILOPO / ARAROMI / IYERE II",018,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"FRONT OF ODOFIN 'S HOUSE , OLUTORU / TEMIDIRE / BALOGUN I",019,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"SPACE WITHIN OLUTORU, TEMIDIRE AND BALOGUN , OLUTORU / TEMIDIRE / BALOGUN 11",020,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"FRONT OF ESAN NIG. LTD. , OLOBARABARA / ALAFIA",021,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"FRONT OF ELDER OBIWALE'S HOUSE , ODO AYO / EDUCATION",022,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"FRONT OF OLUWA NIFISE'S HOUSE , AYIO / OLUWANIFISE",023,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"A. U. D. PRY. SCH. , ODOMU / IDITO",024,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"ELERIO FARM , AWURE / ODO IGBANA FARM",025,,,,,,,,,,,,,,,
EKITI WEST,ARAMOKO III,03,"CHIEF OLOJEGBE FARM , OLOJEGBE FARM",026,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,ERUIYAN I,04,"NEAR OLOGBEHIN COMP, IGBEHIN I",001,,,,,,,,,,,,,,,
EKITI WEST,ERUIYAN I,04,"OKEMORE, IGBEHIN II",002,,,,,,,,,,,,,,,
EKITI WEST,ERUIYAN I,04,"FRONT OF ADEYEMI'S HOUSE , ATIBA",003,,,,,,,,,,,,,,,
EKITI WEST,ERUIYAN I,04,"NEAR OBA'S PALACE EREKEJI , OGUNA I",004,,,,,,,,,,,,,,,
EKITI WEST,ERUIYAN I,04,"TOWN HALL , OGUNA II",005,,,,,,,,,,,,,,,
EKITI WEST,ERUIYAN I,04,"ODOFIN'S COMP., IGEMO III",006,,,,,,,,,,,,,,,
EKITI WEST,ERUIYAN I,04,OSOLO'S COMP. IGEMO I,007,,,,,,,,,,,,,,,
EKITI WEST,ERUIYAN I,04,"R. C. M. I , IGEMO II",008,,,,,,,,,,,,,,,
EKITI WEST,ERUIYAN I,04,"AJEBAMIDELE PRY. SCH. , AJEBAMIDELE",009,,,,,,,,,,,,,,,
EKITI WEST,ERUIYAN I,04,"OGBORU, SURULERE",010,,,,,,,,,,,,,,,
EKITI WEST,ERUIYAN I,04,"A. U. D. PRY. SCH. , A. U. D. AREA",011,,,,,,,,,,,,,,,
EKITI WEST,ERUIYAN I,04,"OSOMO'S COMP. , ILOFI",012,,,,,,,,,,,,,,,
EKITI WEST,ERUIYAN I,04,C. A. C. PRY. SCH. C. A. C. PRY. SCH.,013,,,,,,,,,,,,,,,
EKITI WEST,ERUIYAN I,04,"KAJOLA SQ, OKEMOGUN, KAJOLA 1",014,,,,,,,,,,,,,,,
EKITI WEST,ERUIYAN I,04,"KAJOLA , EREJIRIN , KAJOLA II",015,,,,,,,,,,,,,,,
EKITI WEST,ERUIYAN I,04,"FRONT OF AKINGBADE'S HOUSE , OKETERE",016,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,ERIJIYAN II,05,"MATERNITY CENTER, IWARO I",001,,,,,,,,,,,,,,,
EKITI WEST,ERIJIYAN II,05,"OLOJE'S CAMP , IWARO II",002,,,,,,,,,,,,,,,
EKITI WEST,ERIJIYAN II,05,"ANGLICAN L. A. , IGBEHIN",003,,,,,,,,,,,,,,,
EKITI WEST,ERIJIYAN II,05,ORISUNMBARE CAMP. ORISUNMABRE,004,,,,,,,,,,,,,,,
EKITI WEST,ERIJIYAN II,05,"IREJU CAMP. , IREJU / OYOMOKORE",005,,,,,,,,,,,,,,,
EKITI WEST,ERIJIYAN II,05,"FRONT OF ELEYIGBO'S HOUSE , OKE IDI OGUN",006,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,IKOGOSI,06,"FRONT OF ELERIGBE , ERIGBE",001,,,,,,,,,,,,,,,
EKITI WEST,IKOGOSI,06,"CHIEF ONISAN FRONTAGE , OJI",002,,,,,,,,,,,,,,,
EKITI WEST,IKOGOSI,06,FRONTAGE OF OYEBANJI'S COMP. OKELELE,003,,,,,,,,,,,,,,,
EKITI WEST,IKOGOSI,06,"IDIGBO STREET , INIJA / ODOGBO",004,,,,,,,,,,,,,,,
EKITI WEST,IKOGOSI,06,"BAPTIST PRY. SCH. , ILAJUMU I / ILAJUMU II",005,,,,,,,,,,,,,,,
EKITI WEST,IKOGOSI,06,"ADEMILUA COMP. , IKOGOSI W. S.",006,,,,,,,,,,,,,,,
EKITI WEST,IKOGOSI,06,"ORI OKUTA , ORIOKUTA / TEMIDIRE /ASA",007,,,,,,,,,,,,,,,
EKITI WEST,IKOGOSI,06,"ABA OSUN FARM , BABATOLA / ABA OSUN",008,,,,,,,,,,,,,,,
EKITI WEST,IKOGOSI,06,"JOHN KOLAWOLE HOUSE , ALAJE CAMP",009,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,IPOLE ILORO,07,"INUTA CENTRE , INUTA I",001,,,,,,,,,,,,,,,
EKITI WEST,IPOLE ILORO,07,INUTA EAST INUTA II,002,,,,,,,,,,,,,,,
EKITI WEST,IPOLE ILORO,07,"C. A. C. PRY. SCH. , INUTA III/ MATERNITY",003,,,,,,,,,,,,,,,
EKITI WEST,IPOLE ILORO,07,"KAJOLA SQURE , KAJOLA",004,,,,,,,,,,,,,,,
EKITI WEST,IPOLE ILORO,07,"IWAJI SQURE, IWAJI I",005,,,,,,,,,,,,,,,
EKITI WEST,IPOLE ILORO,07,"ST. BRIDGET , PRY. SCH. IWAJI II",006,,,,,,,,,,,,,,,
EKITI WEST,IPOLE ILORO,07,"IJOKO SQURE , IJOKO /OKE OGUN",007,,,,,,,,,,,,,,,
EKITI WEST,IPOLE ILORO,07,"ODO OJA, ODO OJA",008,,,,,,,,,,,,,,,
EKITI WEST,IPOLE ILORO,07,"IJALE OKE , IJALE I",009,,,,,,,,,,,,,,,
EKITI WEST,IPOLE ILORO,07,"ODO IJALE , IJALE II",010,,,,,,,,,,,,,,,
EKITI WEST,IPOLE ILORO,07,"ILORO , ILORO",011,,,,,,,,,,,,,,,
EKITI WEST,IPOLE ILORO,07,"IDI -OSE , IJALE CENTRE",012,,,,,,,,,,,,,,,
EKITI WEST,IPOLE ILORO,07,FRONT OF LAMIDI AGBEDE'S HS. ARAROMI SETTLEMENT,013,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,OKEMESI I,08,"NEAR ADENIRAN'S CAMP , SAGUNRIN",001,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"OLOMOFE COMP. , ODO ESE I",002,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"FRONT OF OLUWANIYI , ODOFIN COMP.",003,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"ST. MICHEAL PRY. SCH. , OKELORO / LEJOKA",004,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"FRONT OF OBANLA AFUYE'S HOUSE , POPOOLA 'S COMP.",005,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"OMIRAGUNSIN'S HOUSE , ODOWO DOFIN I",006,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"AWOROGUN'S COMP. , ODOWO DOFIN II",007,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"BALOGUN'S HOUSE , AJINDO I",008,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"OPEN SPACE WITHIN AJINDO, AJINDO 11",009,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"OGUNDELE'S HOUSE , LEGIRI",010,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"EGBEJA ARAROMI , EGBEJA ARAROMI / EGBEJA BABA EGBE",011,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"EPINRIN GOLU , EPINRIN / IDIROKO",012,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"OGBOROGODO , OGBOROGODO",013,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"OKE OWODE , OKE OWODE",014,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"AGO PAANU VILLAGE, AGO PAANU",015,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"ALAMO , ALAMO LAGBURUGUDU",016,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"LAGBURUGUDU , LAGBURUGUDU",017,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"EPINMI KASIA , EPINMI KASIA",018,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"EJEMU HALL, OKE ILORO / EJEMU",019,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI I,08,"FRONT ARIYIBI'S HOUSE , AJAGEMO (LATUNDE)",020,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,OKEMESI II,09,"FRONT OF AKINLEYE'S HOUSE , EMILE",001,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"L. A. PRY. SCH. , ASAGBA",002,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"AT AKODI OSODI , OSODI",003,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"AT AKUDI ODUNMURIN , ODUNMURIN I",004,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"SPACE WITHIN ODUNMURIN , ODUNMURIN II",005,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"FRONT OF BABAOWA 'S HOUSE , IROBABAOWA",006,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"AT OSOLO HALL, OSOLO",007,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"FRONT OF OLALETAN'S HOUSE , BALOGUN I",008,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"OPEN SPACE WITHIN BALOGUN AREA , BALOGUN II",009,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"AT AKODI SAJUKU , SAJUKU",010,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"AT OBALARA HALL , OBALARA'S COMP.",011,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"FRONT OF EKUNOLA'S HOUSE , MAYORUN",012,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"FRONT OF AJIBADE'S HOUSE , IRO OKE",013,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"FRONT OF LEGIRI OGUNDELE'S HOUSE, LEGIRI - OGUNDELE",014,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"AT LEJUA HALL , LEJUA",015,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"OBA ODO HALL , OBA ODO / LERIO",016,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"FRONT OF CHIEF ODOLE'S HOUSE , ODOLE / ESORUN",017,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI II,09,"FRONT OF SALORO HOUSE , ALAKA / ANIYE",018,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,OKEMESI III,10,"TOWN HALL, AAFIN",001,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI III,10,"FRONT OF SUNDAY OBALEKO'S COMP., OTIO",002,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI III,10,"FRONT OF ADETOYINBO'S HOUSE , IJANA I",003,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI III,10,"AT AKODI ARO , ARO / SABA",004,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI III,10,"FRONT OF EMILOJU'S HOUSE , IJANA I",005,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI III,10,"SPACE WITHIN IJANA , IJANA II",006,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI III,10,"AT AKODI OBALOGBO , OBALOGBO",007,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI III,10,"ITA ODE SQURE , ITA ODE",008,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI III,10,"AKEGUN CAMP. , AKEGUN VILLAGE",009,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI III,10,"OGBORODUDU SQUARE ,OGBORODUDU",010,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI III,10,"OKO ARO SQUARE , OKO ARO",011,,,,,,,,,,,,,,,
EKITI WEST,OKEMESI III,10,"KAMODI CAMP , KAMODI CAMP",012,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,IDO AJINARE,11,"AJINARE GRAM , OJOGBE I",001,,,,,,,,,,,,,,,
EKITI WEST,IDO AJINARE,11,"OLD MODEL SCH , OJOGBE II",002,,,,,,,,,,,,,,,
EKITI WEST,IDO AJINARE,11,"COURT HALL , AAFIN",003,,,,,,,,,,,,,,,
EKITI WEST,IDO AJINARE,11,"FRONT OF JEJE'S HOUSE , ELU OKE PELE",004,,,,,,,,,,,,,,,
EKITI WEST,IDO AJINARE,11,"FRONT OF OLALETAN HOUSE, OGUNREMO",005,,,,,,,,,,,,,,,
EKITI WEST,IDO AJINARE,11,"FRONT OF CHIEF AMOLE , ORIN",006,,,,,,,,,,,,,,,
EKITI WEST,IDO AJINARE,11,"FRONT OF ORISAOMU , OROKE",007,,,,,,,,,,,,,,,
EKITI WEST,IDO AJINARE,11,"ODOMU SQURE , ODOMU",008,,,,,,,,,,,,,,,
EKITI WEST,IDO AJINARE,11,"FRONT OF CHIEF ODOFIN OMU HOUSE , OKE OMU",009,,,,,,,,,,,,,,,
EKITI WEST,IDO AJINARE,11,"FRONT OF CHIEF ADESOLA 'S HOUSE , ORO STREET",010,,,,,,,,,,,,,,,
EKITI WEST,IDO AJINARE,11,"FRONT OF CHIEF OLOYE'S HOUSE , OKE OYE",011,,,,,,,,,,,,,,,
EKITI WEST,IDO AJINARE,11,"ST. ANDREW'S SCH , / ODOGBO",012,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
,LG SUM,,,,0,0,0,0,0,0,,,,,,,,,
EKITI SOUTH WEST,ILAWE I,01,ITAOSE / OYEGBATA ST. ANGELA'S SCH.,001,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE I,01,TEMIDIRE / CATHOLIC MISSION ST. ANGELA'S SCH,002,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE I,01,OWAILORO / MAT. CENTRE NEAR OWAILOPO,003,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE I,01,IGBO AWO / CHIEF SARO NEAR IGBO AWO,004,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE I,01,"EMILA , NEAR EMILA",005,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE I,01,ELEJOFI / OJAOMO / NEAR ELEJOFI,006,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE I,01,ILUPEJU CENTRE / ILUPEJU PRY SCH,007,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE I,01,ERIN OMO FOOD CENTRE / NEAR ERIN OMO,008,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE I,01,OJA AAYE / EKU AAYE / NEAR OLOJA AAYE,009,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE I,01,SAPETU / NEAR SAPETU,010,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE I,01,OWAOSUN / TEDIO / OLORIAWO NEAR OLORIAWO,011,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE I,01,OWAOSUN / TEDIO / OLORIAWO NEAR BOARD OF INTERNAL REVENUE,012,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
EKITI SOUTH WEST,ILAWE II,02,TEMIDIRE DURODOLA / ST. MICHAEL PRY. SCH.,001,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE II,02,AKOMOLAFE / ST. MICHAEL PRY. SCH.,002,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE II,02,ILESANMI / ABANIGBELE / NEAR ILESANMIS ASE,003,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE II,02,OKE ADURA / NEAR OKE ADURA,004,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE II,02,ST. MICHAEL / ARAOYE / AT ST. MICHAEL SCH. I,005,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE II,02,ST. MICHEAL / ARAOYE / AT ST. MICHAEL SCH. II,006,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE II,02,APELUA /AMODI /AT ST. MICHAEL SCH.,007,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE II,02,ARAROMI / AROGE / ASUBIARO / AT ARAROMI MARKET,008,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE II,02,"OYINLOLA / OGE/ ORORIN / OLUWA DUNSIN, NEAR CHIEF ASAO'S HOUSE",009,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE II,02,OYINLOLA / OGE / ORORIN / OLUWADUNSIN / NEAR ATOYE'S HOUSE,010,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE II,02,ONIWE / ALESIN / NEAR ONIWE ROAD,011,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE II,02,OJA OMO /NEAR OJA OMO I,012,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE II,02,OJA OMO /NEAR OJA OMO II,013,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE II,02,EJIO / SUBULADE NEAR EJIO'S HOUSE,014,,,,,,,,,,,,,,,
EKITI SOUTH WEST,ILAWE II,02,EJIO / SUBULADE NEAR ANAJERE MARKET,015,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
EKITI SOUTH WEST,ILAWE III,03,"ST. JOHN'S ROAD , AT ST. JOHN'S SCHOOL",001,,,,,,,,,,,,,,,
