EKITI STATE GOVERNORSHIP ELECTION RESULTS 2026,,,,,,,,,,RESULT SUMMARY,,,,,,,
Results from Irev,,,,,,,,,,APC ,PDP ,ADC ,LP ,ACCORD,SDP,Total PU,PU Entered
Result by Ward,,,,,,,,,,00,00,00,00,00,00,2445,0
LGA,WARD NAME,WARD CODE,APC,PDP,ADC,LP,ACCORD,SDP,,,,,,,,,
GBONYIN,IMESI ,05,0,0,0,0,0,0,,,,,,,,,
GBONYIN,AGBADO,06,0,0,0,0,0,0,,,,,,,,,
GBONYIN,AISEGBA I,07,0,0,0,0,0,0,,,,,,,,,
GBONYIN,AISEGBA II,08,0,0,0,0,0,0,,,,,,,,,
GBONYIN,ILUOMOBA,09,0,0,0,0,0,0,,,,,,,,,
GBONYIN,IJAN,10,0,0,0,0,0,0,,,,,,,,,
TOTAL,,,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,IDO I,01,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,IDO II,02,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,IFAKI I,03,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,IFAKI II,04,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,ILOGBO,05,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,USI,06,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,OSI,07,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,ORIN / ORA,08,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,IGBOLE / IFISIN /AAYE,09,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,AYETORO I,10,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,AYETORO II,11,0,0,0,0,0,0,,,,,,,,,
TOTAL,,,0,0,0,0,0,0,,,,,,,,,
IJERO,IJERO WARD 'A',01,0,0,0,0,0,0,,,,,,,,,
IJERO,IJERO WARD 'B',02,0,0,0,0,0,0,,,,,,,,,
IJERO,IJERO WARD 'C',03,0,0,0,0,0,0,,,,,,,,,
IJERO,IJERO WARD 'D',04,0,0,0,0,0,0,,,,,,,,,
IJERO,IPOTI WARD 'A',05,0,0,0,0,0,0,,,,,,,,,
IJERO,IPOTI WARD 'B',06,0,0,0,0,0,0,,,,,,,,,
IJERO,ODO OWA,07,0,0,0,0,0,0,,,,,,,,,
IJERO,ILORO WARD 'A',08,0,0,0,0,0,0,,,,,,,,,
IJERO,ILORO WARD 'B',09,0,0,0,0,0,0,,,,,,,,,
IJERO,IKORO WARD 'A',10,0,0,0,0,0,0,,,,,,,,,
IJERO,EKAMARUN WARD,11,0,0,0,0,0,0,,,,,,,,,
IJERO,EKAMETA,12,0,0,0,0,0,0,,,,,,,,,
TOTAL,,,0,0,0,0,0,0,,,,,,,,,
IKERE,ATIBA/AAFIN,01,0,0,0,0,0,0,,,,,,,,,
IKERE,OKERUKU,02,0,0,0,0,0,0,,,,,,,,,
IKERE,UGELE/AROKU,03,0,0,0,0,0,0,,,,,,,,,
IKERE,AGBADO/OYO,04,0,0,0,0,0,0,,,,,,,,,
IKERE,OGBONJANA,05,0,0,0,0,0,0,,,,,,,,,
IKERE,OKE - OSUN,06,0,0,0,0,0,0,,,,,,,,,
IKERE,IDEMO,07,0,0,0,0,0,0,,,,,,,,,
IKERE,ILAPETU/IJAO,08,0,0,0,0,0,0,,,,,,,,,
IKERE,ARE ARAROMI,09,0,0,0,0,0,0,,,,,,,,,
IKERE,AFAO/KAJOLA,10,0,0,0,0,0,0,,,,,,,,,
IKERE,ODOSE,11,0,0,0,0,0,0,,,,,,,,,
TOTAL,,,0,0,0,0,0,0,,,,,,,,,
IKOLE,IKOLE WEST I,01,0,0,0,0,0,0,,,,,,,,,
IKOLE,IKOLE WEST II,02,0,0,0,0,0,0,,,,,,,,,
IKOLE,IKOLE EAST,03,0,0,0,0,0,0,,,,,,,,,
IKOLE,IKOLE NORTH,04,0,0,0,0,0,0,,,,,,,,,
IKOLE,IKOLE SOUTH,05,0,0,0,0,0,0,,,,,,,,,
IKOLE,ARAROMI/BOLORI,06,0,0,0,0,0,0,,,,,,,,,
IKOLE,IJESA ISU,07,0,0,0,0,0,0,,,,,,,,,
IKOLE,ODO AYEDUN I,08,0,0,0,0,0,0,,,,,,,,,
IKOLE,ODO AYEDUN /AYEBODE,09,0,0,0,0,0,0,,,,,,,,,
IKOLE,OKE AYEDUN,10,0,0,0,0,0,0,,,,,,,,,
IKOLE,IPAO/OKE AKO/IRELE,11,0,0,0,0,0,0,,,,,,,,,
